PC,cell_type_compound,cell_type,compound,cell_id,compound_cell_id,all_cells - chanel_3 Gabor Max 2 px w2 - Mean per Well,all_cells - chanel_2 Area,all_cells - chanel_3 SER Ridge 1 px - Mean per Well,all_cells - chanel_3_intensity Mean - Mean per Well,spotschan3_intensitymean_div_chan2area,chan3_intensitymean_div_chan2area,all_cells - chanel_1 Area,ir_chanel_3_at - Intensity ir_chanel_3_at chanel_3 Mean - Mean per Well,spots_chanel_3_final - Region Intensity - Mean per Well,spots_chanel_3_final - Spot to Region Intensity - Mean per Well,spots_chanel_3_final - Corrected Spot Intensity - Mean per Well
24s,E_T,E,T,654.0,T_654.0,-0.5450840248605874,2.4576374669430545,-0.9703225675721242,0.7140824587254251,-57.31490069307843,-8.19667267091473,0.6232550233190804,4.558934543754603,0.6793410732714945,0.2500895305137144,0.7658624447800564
24s,E_UT,E,UT,654.0,UT_654.0,-0.5467000223784073,2.454816535511721,-0.9696312229642732,1.0711070304916686,-49.81171235002946,-7.715935153603866,0.6232291371237301,4.664664668693903,0.6797708230684847,0.2552386478264711,0.7670504615397362
24s,E_UT,E,UT,654.0,UT_654.0,-0.5486961567849488,2.453054998420724,-0.9736488117898588,0.7409358863096435,-51.40150315309084,-8.034516628073348,0.6232080346584796,4.505860046573813,0.6794119902539839,0.2782994925642092,0.7661291255161813
24s,E_T,E,T,654.0,T_654.0,-0.5473112372524565,2.4617040073214915,-0.9712263144263638,0.9044044648851106,-58.91635413394162,-8.10415417075385,0.6232215300071834,4.623256888082436,0.6796162423701585,0.2683246267859747,0.7666832227537063
24s,HC_UT,HC,UT,8429.0,UT_8429.0,-0.5516093571914679,2.422734129040561,-0.9648258958345656,2.434954708575184,-16.49046086591884,-5.517191625743494,0.6231468903885937,4.915216379687451,0.681569932900123,0.2046620988675086,0.7717964632109816
24s,HC_T,HC,T,8429.0,T_8429.0,-0.5539344035830464,2.440262454391536,-0.97673850266608,1.2285103073406078,-33.332091571508755,-7.159018912465236,0.6231685356744535,4.816265673407068,0.6803576964182053,0.2911669252098297,0.7686005474990116
24s,HC_UT,HC,UT,8429.0,UT_8429.0,-0.5536481842989366,2.4347243678182884,-0.9759421535006838,1.2568977532112855,-29.846527029209323,-6.994930035557823,0.6231553160972908,4.840640256598999,0.6804187229604868,0.2573362442571784,0.768757068942994
24s,HC_UT,HC,UT,8429.0,UT_8429.0,-0.5572890669215277,2.429032014477042,-0.9838465941920572,0.5426801948132742,-29.84461091786032,-7.651972557866725,0.6231497661997218,4.604732266633394,0.6799989800186825,0.3144784647265497,0.767706374008052
24s,L_UT,L,UT,640.0,UT_640.0,-0.5564811600077724,2.4445494437429995,-0.9843385352716288,0.3606963368019845,-39.963302347032496,-8.238852568921407,0.6231735916049858,4.533538855199892,0.6798366551464382,0.3165357797210008,0.767382854943661
24s,L_T,L,T,640.0,T_640.0,-0.5567502023963258,2.44384531060598,-0.9847083938399074,0.2559568085451502,-41.819539242145744,-8.342228972922463,0.6231697114084123,4.463673976824309,0.6795689591943248,0.2890308541429477,0.7666129930810508
